Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Thu, Jan 11, 2024",8:30p,New York Knicks,,Dallas Mavericks,,,,,American Airlines Center,
"Thu, Jan 11, 2024",10:00p,Phoenix Suns,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Fri, Jan 12, 2024",7:00p,Sacramento Kings,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Fri, Jan 12, 2024",7:30p,Indiana Pacers,,Atlanta Hawks,,,,,State Farm Arena,
"Fri, Jan 12, 2024",7:30p,Houston Rockets,,Detroit Pistons,,,,,Little Caesars Arena,
"Fri, Jan 12, 2024",8:00p,Golden State Warriors,,Chicago Bulls,,,,,United Center,
"Fri, Jan 12, 2024",8:00p,Los Angeles Clippers,,Memphis Grizzlies,,,,,FedEx Forum,
"Fri, Jan 12, 2024",8:00p,Orlando Magic,,Miami Heat,,,,,Kaseya Center,
"Fri, Jan 12, 2024",8:00p,Portland Trail Blazers,,Minnesota Timberwolves,,,,,Target Center,
"Fri, Jan 12, 2024",9:00p,New Orleans Pelicans,,Denver Nuggets,,,,,Ball Arena,
"Fri, Jan 12, 2024",9:30p,Toronto Raptors,,Utah Jazz,,,,,Delta Center,
"Fri, Jan 12, 2024",10:00p,Charlotte Hornets,,San Antonio Spurs,,,,,AT&T Center,
"Sat, Jan 13, 2024",7:00p,Houston Rockets,,Boston Celtics,,,,,TD Garden,
"Sat, Jan 13, 2024",7:30p,Washington Wizards,,Atlanta Hawks,,,,,State Farm Arena,
"Sat, Jan 13, 2024",8:00p,New York Knicks,,Memphis Grizzlies,,,,,FedEx Forum,
"Sat, Jan 13, 2024",8:00p,Golden State Warriors,,Milwaukee Bucks,,,,,Fiserv Forum,
"Sat, Jan 13, 2024",8:00p,Orlando Magic,,Oklahoma City Thunder,,,,,Paycom Center,
"Sat, Jan 13, 2024",8:30p,New Orleans Pelicans,,Dallas Mavericks,,,,,American Airlines Center,
"Sat, Jan 13, 2024",8:30p,Chicago Bulls,,San Antonio Spurs,,,,,AT&T Center,
"Sat, Jan 13, 2024",9:30p,Los Angeles Lakers,,Utah Jazz,,,,,Delta Center,
"Sun, Jan 14, 2024",3:30p,Indiana Pacers,,Denver Nuggets,,,,,Ball Arena,
"Sun, Jan 14, 2024",6:00p,Charlotte Hornets,,Miami Heat,,,,,Kaseya Center,
"Sun, Jan 14, 2024",7:00p,Sacramento Kings,,Milwaukee Bucks,,,,,Fiserv Forum,
"Sun, Jan 14, 2024",7:00p,Los Angeles Clippers,,Minnesota Timberwolves,,,,,Target Center,
"Sun, Jan 14, 2024",9:00p,Phoenix Suns,,Portland Trail Blazers,,,,,Moda Center,
"Mon, Jan 15, 2024",1:00p,Houston Rockets,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Mon, Jan 15, 2024",2:30p,New Orleans Pelicans,,Dallas Mavericks,,,,,American Airlines Center,
"Mon, Jan 15, 2024",3:00p,Orlando Magic,,New York Knicks,,,,,Madison Square Garden (IV),
"Mon, Jan 15, 2024",3:00p,Detroit Pistons,,Washington Wizards,,,,,Capital One Arena,
"Mon, Jan 15, 2024",3:30p,San Antonio Spurs,,Atlanta Hawks,,,,,State Farm Arena,
"Mon, Jan 15, 2024",6:00p,Golden State Warriors,,Memphis Grizzlies,,,,,FedEx Forum,
"Mon, Jan 15, 2024",7:00p,Chicago Bulls,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Mon, Jan 15, 2024",7:30p,Miami Heat,,Brooklyn Nets,,,,,Barclays Center,
"Mon, Jan 15, 2024",7:30p,Boston Celtics,,Toronto Raptors,,,,,Scotiabank Arena,
"Mon, Jan 15, 2024",9:00p,Indiana Pacers,,Utah Jazz,,,,,Delta Center,
"Mon, Jan 15, 2024",10:30p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Tue, Jan 16, 2024",7:30p,Denver Nuggets,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Tue, Jan 16, 2024",9:00p,Sacramento Kings,,Phoenix Suns,,,,,Footprint Center,
"Tue, Jan 16, 2024",10:00p,Oklahoma City Thunder,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Wed, Jan 17, 2024",7:00p,Minnesota Timberwolves,,Detroit Pistons,,,,,Little Caesars Arena,
"Wed, Jan 17, 2024",7:30p,Orlando Magic,,Atlanta Hawks,,,,,State Farm Arena,
"Wed, Jan 17, 2024",7:30p,San Antonio Spurs,,Boston Celtics,,,,,TD Garden,
"Wed, Jan 17, 2024",7:30p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Wed, Jan 17, 2024",7:30p,Houston Rockets,,New York Knicks,,,,,Madison Square Garden (IV),
"Wed, Jan 17, 2024",7:30p,Miami Heat,,Toronto Raptors,,,,,Scotiabank Arena,
"Wed, Jan 17, 2024",8:00p,Charlotte Hornets,,New Orleans Pelicans,,,,,Smoothie King Center,
"Wed, Jan 17, 2024",9:00p,Golden State Warriors,,Utah Jazz,,,,,Delta Center,
"Wed, Jan 17, 2024",10:00p,Dallas Mavericks,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Wed, Jan 17, 2024",10:00p,Brooklyn Nets,,Portland Trail Blazers,,,,,Moda Center,
"Thu, Jan 18, 2024",7:30p,Washington Wizards,,New York Knicks,,,,,Madison Square Garden (IV),
"Thu, Jan 18, 2024",7:30p,Chicago Bulls,,Toronto Raptors,,,,,Scotiabank Arena,
"Thu, Jan 18, 2024",9:00p,Oklahoma City Thunder,,Utah Jazz,,,,,Delta Center,
"Thu, Jan 18, 2024",10:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,Target Center,
"Thu, Jan 18, 2024",10:00p,Indiana Pacers,,Sacramento Kings,,,,,Golden 1 Center,
"Fri, Jan 19, 2024",7:00p,San Antonio Spurs,,Charlotte Hornets,,,,,Spectrum Center,
"Fri, Jan 19, 2024",7:00p,Philadelphia 76ers,,Orlando Magic,,,,,Amway Center,
"Fri, Jan 19, 2024",7:30p,Denver Nuggets,,Boston Celtics,,,,,TD Garden,
"Fri, Jan 19, 2024",8:00p,Atlanta Hawks,,Miami Heat,,,,,Kaseya Center,
"Fri, Jan 19, 2024",8:00p,Phoenix Suns,,New Orleans Pelicans,,,,,Smoothie King Center,
"Fri, Jan 19, 2024",10:00p,Dallas Mavericks,,Golden State Warriors,,,,,Chase Center,
"Fri, Jan 19, 2024",10:00p,Indiana Pacers,,Portland Trail Blazers,,,,,Moda Center,
"Fri, Jan 19, 2024",10:30p,Brooklyn Nets,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Sat, Jan 20, 2024",3:00p,Milwaukee Bucks,,Detroit Pistons,,,,,Little Caesars Arena,
"Sat, Jan 20, 2024",7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,Spectrum Center,
"Sat, Jan 20, 2024",7:00p,San Antonio Spurs,,Washington Wizards,,,,,Capital One Arena,
"Sat, Jan 20, 2024",7:30p,Cleveland Cavaliers,,Atlanta Hawks,,,,,State Farm Arena,
"Sat, Jan 20, 2024",7:30p,Toronto Raptors,,New York Knicks,,,,,Madison Square Garden (IV),
"Sat, Jan 20, 2024",8:00p,Memphis Grizzlies,,Chicago Bulls,,,,,United Center,
"Sat, Jan 20, 2024",8:00p,Utah Jazz,,Houston Rockets,,,,,Toyota Center,
"Sat, Jan 20, 2024",8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,Target Center,
"Sun, Jan 21, 2024",3:30p,Brooklyn Nets,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Sun, Jan 21, 2024",6:00p,Miami Heat,,Orlando Magic,,,,,Amway Center,
"Sun, Jan 21, 2024",6:00p,Denver Nuggets,,Washington Wizards,,,,,Capital One Arena,
"Sun, Jan 21, 2024",7:00p,Boston Celtics,,Houston Rockets,,,,,Toyota Center,
"Sun, Jan 21, 2024",8:00p,Indiana Pacers,,Phoenix Suns,,,,,Footprint Center,
"Sun, Jan 21, 2024",10:00p,Portland Trail Blazers,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Mon, Jan 22, 2024",7:00p,Milwaukee Bucks,,Detroit Pistons,,,,,Little Caesars Arena,
"Mon, Jan 22, 2024",7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,Amway Center,
"Mon, Jan 22, 2024",7:00p,San Antonio Spurs,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Mon, Jan 22, 2024",7:30p,Memphis Grizzlies,,Toronto Raptors,,,,,Scotiabank Arena,
"Mon, Jan 22, 2024",8:00p,Charlotte Hornets,,Minnesota Timberwolves,,,,,Target Center,
"Mon, Jan 22, 2024",8:30p,Boston Celtics,,Dallas Mavericks,,,,,American Airlines Center,
"Mon, Jan 22, 2024",9:00p,Chicago Bulls,,Phoenix Suns,,,,,Footprint Center,
"Mon, Jan 22, 2024",10:00p,Atlanta Hawks,,Sacramento Kings,,,,,Golden 1 Center,
"Tue, Jan 23, 2024",7:00p,Denver Nuggets,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Tue, Jan 23, 2024",7:30p,New York Knicks,,Brooklyn Nets,,,,,Barclays Center,
"Tue, Jan 23, 2024",8:00p,Utah Jazz,,New Orleans Pelicans,,,,,Smoothie King Center,
"Tue, Jan 23, 2024",8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,Paycom Center,
"Tue, Jan 23, 2024",10:00p,Los Angeles Lakers,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Wed, Jan 24, 2024",7:00p,Charlotte Hornets,,Detroit Pistons,,,,,Little Caesars Arena,
"Wed, Jan 24, 2024",7:00p,Minnesota Timberwolves,,Washington Wizards,,,,,Capital One Arena,
"Wed, Jan 24, 2024",7:30p,Memphis Grizzlies,,Miami Heat,,,,,Kaseya Center,
"Wed, Jan 24, 2024",7:30p,Oklahoma City Thunder,,San Antonio Spurs,,,,,AT&T Center,
"Wed, Jan 24, 2024",8:00p,Portland Trail Blazers,,Houston Rockets,,,,,Toyota Center,
"Wed, Jan 24, 2024",8:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,Fiserv Forum,
"Wed, Jan 24, 2024",10:00p,Phoenix Suns,,Dallas Mavericks,,,,,American Airlines Center,
"Wed, Jan 24, 2024",10:00p,Atlanta Hawks,,Golden State Warriors,,,,,Chase Center,
"Thu, Jan 25, 2024",7:00p,Philadelphia 76ers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Thu, Jan 25, 2024",7:00p,Utah Jazz,,Washington Wizards,,,,,Capital One Arena,
"Thu, Jan 25, 2024",7:30p,Minnesota Timberwolves,,Brooklyn Nets,,,,,Barclays Center,
"Thu, Jan 25, 2024",7:30p,Boston Celtics,,Miami Heat,,,,,Kaseya Center,
"Thu, Jan 25, 2024",7:30p,Denver Nuggets,,New York Knicks,,,,,Madison Square Garden (IV),
"Thu, Jan 25, 2024",10:00p,Sacramento Kings,,Golden State Warriors,,,,,Chase Center,
"Thu, Jan 25, 2024",10:30p,Chicago Bulls,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Fri, Jan 26, 2024",7:00p,Dallas Mavericks,,Atlanta Hawks,,,,,State Farm Arena,
"Fri, Jan 26, 2024",7:00p,Houston Rockets,,Charlotte Hornets,,,,,Spectrum Center,
"Fri, Jan 26, 2024",7:00p,Phoenix Suns,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Fri, Jan 26, 2024",7:30p,Los Angeles Clippers,,Toronto Raptors,,,,,Scotiabank Arena,
"Fri, Jan 26, 2024",8:00p,Orlando Magic,,Memphis Grizzlies,,,,,FedEx Forum,
"Fri, Jan 26, 2024",8:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,Fiserv Forum,
"Fri, Jan 26, 2024",8:00p,Oklahoma City Thunder,,New Orleans Pelicans,,,,,Smoothie King Center,
"Fri, Jan 26, 2024",9:30p,Portland Trail Blazers,,San Antonio Spurs,,,,,AT&T Center,
"Sat, Jan 27, 2024",12:00p,Washington Wizards,,Detroit Pistons,,,,,Little Caesars Arena,
"Sat, Jan 27, 2024",3:00p,Miami Heat,,New York Knicks,,,,,Madison Square Garden (IV),
"Sat, Jan 27, 2024",5:30p,Philadelphia 76ers,,Denver Nuggets,,,,,Ball Arena,
"Sat, Jan 27, 2024",6:00p,Houston Rockets,,Brooklyn Nets,,,,,Barclays Center,
"Sat, Jan 27, 2024",7:00p,Los Angeles Clippers,,Boston Celtics,,,,,TD Garden,
"Sat, Jan 27, 2024",7:00p,Utah Jazz,,Charlotte Hornets,,,,,Spectrum Center,
"Sat, Jan 27, 2024",8:00p,New Orleans Pelicans,,Milwaukee Bucks,,,,,Fiserv Forum,
"Sat, Jan 27, 2024",8:30p,Los Angeles Lakers,,Golden State Warriors,,,,,Chase Center,
"Sat, Jan 27, 2024",8:30p,Minnesota Timberwolves,,San Antonio Spurs,,,,,AT&T Center,
"Sat, Jan 27, 2024",9:00p,Sacramento Kings,,Dallas Mavericks,,,,,American Airlines Center,
"Sun, Jan 28, 2024",3:30p,Memphis Grizzlies,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Sun, Jan 28, 2024",6:00p,Toronto Raptors,,Atlanta Hawks,,,,,State Farm Arena,
"Sun, Jan 28, 2024",6:00p,Oklahoma City Thunder,,Detroit Pistons,,,,,Little Caesars Arena,
"Sun, Jan 28, 2024",6:00p,Phoenix Suns,,Orlando Magic,,,,,Amway Center,
"Sun, Jan 28, 2024",9:00p,Chicago Bulls,,Portland Trail Blazers,,,,,Moda Center,
"Mon, Jan 29, 2024",7:00p,New York Knicks,,Charlotte Hornets,,,,,Spectrum Center,
"Mon, Jan 29, 2024",7:00p,Los Angeles Clippers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Mon, Jan 29, 2024",7:30p,New Orleans Pelicans,,Boston Celtics,,,,,TD Garden,
"Mon, Jan 29, 2024",7:30p,Utah Jazz,,Brooklyn Nets,,,,,Barclays Center,
"Mon, Jan 29, 2024",7:30p,Phoenix Suns,,Miami Heat,,,,,Kaseya Center,
"Mon, Jan 29, 2024",8:00p,Los Angeles Lakers,,Houston Rockets,,,,,Toyota Center,
"Mon, Jan 29, 2024",8:00p,Sacramento Kings,,Memphis Grizzlies,,,,,FedEx Forum,
"Mon, Jan 29, 2024",8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,Paycom Center,
"Mon, Jan 29, 2024",8:00p,Washington Wizards,,San Antonio Spurs,,,,,AT&T Center,
"Mon, Jan 29, 2024",8:30p,Orlando Magic,,Dallas Mavericks,,,,,American Airlines Center,
"Mon, Jan 29, 2024",9:00p,Milwaukee Bucks,,Denver Nuggets,,,,,Ball Arena,
"Mon, Jan 29, 2024",10:00p,Philadelphia 76ers,,Portland Trail Blazers,,,,,Moda Center,
"Tue, Jan 30, 2024",7:30p,Los Angeles Lakers,,Atlanta Hawks,,,,,State Farm Arena,
"Tue, Jan 30, 2024",7:30p,Indiana Pacers,,Boston Celtics,,,,,TD Garden,
"Tue, Jan 30, 2024",7:30p,Utah Jazz,,New York Knicks,,,,,Madison Square Garden (IV),
"Tue, Jan 30, 2024",8:00p,Toronto Raptors,,Chicago Bulls,,,,,United Center,
"Tue, Jan 30, 2024",10:00p,Philadelphia 76ers,,Golden State Warriors,,,,,Chase Center,
"Wed, Jan 31, 2024",7:00p,Chicago Bulls,,Charlotte Hornets,,,,,Spectrum Center,
"Wed, Jan 31, 2024",7:00p,Detroit Pistons,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Wed, Jan 31, 2024",7:00p,Los Angeles Clippers,,Washington Wizards,,,,,Capital One Arena,
"Wed, Jan 31, 2024",7:30p,Phoenix Suns,,Brooklyn Nets,,,,,Barclays Center,
"Wed, Jan 31, 2024",7:30p,Sacramento Kings,,Miami Heat,,,,,Kaseya Center,
"Wed, Jan 31, 2024",8:00p,New Orleans Pelicans,,Houston Rockets,,,,,Toyota Center,
"Wed, Jan 31, 2024",8:00p,Dallas Mavericks,,Minnesota Timberwolves,,,,,Target Center,
"Wed, Jan 31, 2024",8:00p,Orlando Magic,,San Antonio Spurs,,,,,AT&T Center,
"Wed, Jan 31, 2024",10:00p,Denver Nuggets,,Oklahoma City Thunder,,,,,Paycom Center,
"Wed, Jan 31, 2024",10:00p,Milwaukee Bucks,,Portland Trail Blazers,,,,,Moda Center,
"Thu, Feb 1, 2024",7:30p,Los Angeles Lakers,,Boston Celtics,,,,,TD Garden,
"Thu, Feb 1, 2024",7:30p,Indiana Pacers,,New York Knicks,,,,,Madison Square Garden (IV),
"Thu, Feb 1, 2024",9:00p,Philadelphia 76ers,,Utah Jazz,,,,,Delta Center,
"Thu, Feb 1, 2024",10:00p,Cleveland Cavaliers,,Memphis Grizzlies,,,,,FedEx Forum,
"Fri, Feb 2, 2024",7:00p,Los Angeles Clippers,,Detroit Pistons,,,,,Little Caesars Arena,
"Fri, Feb 2, 2024",7:00p,Miami Heat,,Washington Wizards,,,,,Capital One Arena,
"Fri, Feb 2, 2024",7:30p,Phoenix Suns,,Atlanta Hawks,,,,,State Farm Arena,
"Fri, Feb 2, 2024",7:30p,Sacramento Kings,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Fri, Feb 2, 2024",8:00p,Toronto Raptors,,Houston Rockets,,,,,Toyota Center,
"Fri, Feb 2, 2024",8:00p,Golden State Warriors,,Memphis Grizzlies,,,,,FedEx Forum,
"Fri, Feb 2, 2024",8:00p,Orlando Magic,,Minnesota Timberwolves,,,,,Target Center,
"Fri, Feb 2, 2024",8:00p,Charlotte Hornets,,Oklahoma City Thunder,,,,,Paycom Center,
"Fri, Feb 2, 2024",8:00p,New Orleans Pelicans,,San Antonio Spurs,,,,,AT&T Center,
"Fri, Feb 2, 2024",9:00p,Portland Trail Blazers,,Denver Nuggets,,,,,Ball Arena,
"Sat, Feb 3, 2024",6:00p,Brooklyn Nets,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Sat, Feb 3, 2024",7:30p,Golden State Warriors,,Atlanta Hawks,,,,,State Farm Arena,
"Sat, Feb 3, 2024",8:00p,Sacramento Kings,,Chicago Bulls,,,,,United Center,
"Sat, Feb 3, 2024",8:30p,Milwaukee Bucks,,Dallas Mavericks,,,,,American Airlines Center,
"Sat, Feb 3, 2024",8:30p,Los Angeles Lakers,,New York Knicks,,,,,Madison Square Garden (IV),
"Sat, Feb 3, 2024",8:30p,Cleveland Cavaliers,,San Antonio Spurs,,,,,AT&T Center,
"Sun, Feb 4, 2024",3:00p,Orlando Magic,,Detroit Pistons,,,,,Little Caesars Arena,
"Sun, Feb 4, 2024",3:30p,Phoenix Suns,,Washington Wizards,,,,,Capital One Arena,
"Sun, Feb 4, 2024",6:00p,Memphis Grizzlies,,Boston Celtics,,,,,TD Garden,
"Sun, Feb 4, 2024",6:00p,Indiana Pacers,,Charlotte Hornets,,,,,Spectrum Center,
"Sun, Feb 4, 2024",6:00p,Los Angeles Clippers,,Miami Heat,,,,,Kaseya Center,
"Sun, Feb 4, 2024",7:00p,Houston Rockets,,Minnesota Timberwolves,,,,,Target Center,
"Sun, Feb 4, 2024",7:00p,Toronto Raptors,,Oklahoma City Thunder,,,,,Paycom Center,
"Sun, Feb 4, 2024",8:00p,Milwaukee Bucks,,Utah Jazz,,,,,Delta Center,
"Sun, Feb 4, 2024",8:30p,Portland Trail Blazers,,Denver Nuggets,,,,,Ball Arena,
"Mon, Feb 5, 2024",7:00p,Los Angeles Lakers,,Charlotte Hornets,,,,,Spectrum Center,
"Mon, Feb 5, 2024",7:00p,Sacramento Kings,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Mon, Feb 5, 2024",7:00p,Dallas Mavericks,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Mon, Feb 5, 2024",7:30p,Los Angeles Clippers,,Atlanta Hawks,,,,,State Farm Arena,
"Mon, Feb 5, 2024",7:30p,Golden State Warriors,,Brooklyn Nets,,,,,Barclays Center,
"Mon, Feb 5, 2024",8:00p,Toronto Raptors,,New Orleans Pelicans,,,,,Smoothie King Center,
"Tue, Feb 6, 2024",7:00p,Houston Rockets,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Tue, Feb 6, 2024",7:30p,Dallas Mavericks,,Brooklyn Nets,,,,,Barclays Center,
"Tue, Feb 6, 2024",7:30p,Orlando Magic,,Miami Heat,,,,,Kaseya Center,
"Tue, Feb 6, 2024",7:30p,Memphis Grizzlies,,New York Knicks,,,,,Madison Square Garden (IV),
"Tue, Feb 6, 2024",8:00p,Minnesota Timberwolves,,Chicago Bulls,,,,,United Center,
"Tue, Feb 6, 2024",9:00p,Oklahoma City Thunder,,Utah Jazz,,,,,Delta Center,
"Tue, Feb 6, 2024",10:00p,Milwaukee Bucks,,Phoenix Suns,,,,,Footprint Center,
"Wed, Feb 7, 2024",7:00p,Toronto Raptors,,Charlotte Hornets,,,,,Spectrum Center,
"Wed, Feb 7, 2024",7:00p,Golden State Warriors,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Wed, Feb 7, 2024",7:00p,Cleveland Cavaliers,,Washington Wizards,,,,,Capital One Arena,
"Wed, Feb 7, 2024",7:30p,Atlanta Hawks,,Boston Celtics,,,,,TD Garden,
"Wed, Feb 7, 2024",7:30p,San Antonio Spurs,,Miami Heat,,,,,Kaseya Center,
"Wed, Feb 7, 2024",10:00p,New Orleans Pelicans,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Wed, Feb 7, 2024",10:00p,Detroit Pistons,,Sacramento Kings,,,,,Golden 1 Center,
"Thu, Feb 8, 2024",7:00p,Golden State Warriors,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
"Thu, Feb 8, 2024",7:00p,San Antonio Spurs,,Orlando Magic,,,,,Amway Center,
"Thu, Feb 8, 2024",7:30p,Cleveland Cavaliers,,Brooklyn Nets,,,,,Barclays Center,
"Thu, Feb 8, 2024",7:30p,Dallas Mavericks,,New York Knicks,,,,,Madison Square Garden (IV),
"Thu, Feb 8, 2024",8:00p,Chicago Bulls,,Memphis Grizzlies,,,,,FedEx Forum,
"Thu, Feb 8, 2024",8:00p,Minnesota Timberwolves,,Milwaukee Bucks,,,,,Fiserv Forum,
"Thu, Feb 8, 2024",9:00p,Utah Jazz,,Phoenix Suns,,,,,Footprint Center,
"Thu, Feb 8, 2024",10:00p,Denver Nuggets,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Thu, Feb 8, 2024",10:00p,Detroit Pistons,,Portland Trail Blazers,,,,,Moda Center,
"Fri, Feb 9, 2024",7:00p,Atlanta Hawks,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Fri, Feb 9, 2024",7:30p,Washington Wizards,,Boston Celtics,,,,,TD Garden,
"Fri, Feb 9, 2024",7:30p,Houston Rockets,,Toronto Raptors,,,,,Scotiabank Arena,
"Fri, Feb 9, 2024",8:00p,Charlotte Hornets,,Milwaukee Bucks,,,,,Fiserv Forum,
"Fri, Feb 9, 2024",10:00p,Denver Nuggets,,Sacramento Kings,,,,,Golden 1 Center,
"Fri, Feb 9, 2024",10:30p,New Orleans Pelicans,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Sat, Feb 10, 2024",3:00p,Oklahoma City Thunder,,Dallas Mavericks,,,,,American Airlines Center,
"Sat, Feb 10, 2024",3:30p,Detroit Pistons,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Sat, Feb 10, 2024",6:00p,San Antonio Spurs,,Brooklyn Nets,,,,,Barclays Center,
"Sat, Feb 10, 2024",7:00p,Memphis Grizzlies,,Charlotte Hornets,,,,,Spectrum Center,
"Sat, Feb 10, 2024",7:00p,Chicago Bulls,,Orlando Magic,,,,,Amway Center,
"Sat, Feb 10, 2024",7:00p,Philadelphia 76ers,,Washington Wizards,,,,,Capital One Arena,
"Sat, Feb 10, 2024",7:30p,Houston Rockets,,Atlanta Hawks,,,,,State Farm Arena,
"Sat, Feb 10, 2024",7:30p,Indiana Pacers,,New York Knicks,,,,,Madison Square Garden (IV),
"Sat, Feb 10, 2024",7:30p,Cleveland Cavaliers,,Toronto Raptors,,,,,Scotiabank Arena,
"Sat, Feb 10, 2024",8:30p,Phoenix Suns,,Golden State Warriors,,,,,Chase Center,
"Sat, Feb 10, 2024",10:00p,New Orleans Pelicans,,Portland Trail Blazers,,,,,Moda Center,
"Sun, Feb 11, 2024",2:00p,Boston Celtics,,Miami Heat,,,,,Kaseya Center,
"Sun, Feb 11, 2024",3:00p,Sacramento Kings,,Oklahoma City Thunder,,,,,Paycom Center,
"Mon, Feb 12, 2024",7:00p,Indiana Pacers,,Charlotte Hornets,,,,,Spectrum Center,
"Mon, Feb 12, 2024",7:00p,Philadelphia 76ers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Mon, Feb 12, 2024",7:30p,Chicago Bulls,,Atlanta Hawks,,,,,State Farm Arena,
"Mon, Feb 12, 2024",7:30p,San Antonio Spurs,,Toronto Raptors,,,,,Scotiabank Arena,
"Mon, Feb 12, 2024",8:00p,New York Knicks,,Houston Rockets,,,,,Toyota Center,
"Mon, Feb 12, 2024",8:00p,New Orleans Pelicans,,Memphis Grizzlies,,,,,FedEx Forum,
"Mon, Feb 12, 2024",8:00p,Denver Nuggets,,Milwaukee Bucks,,,,,Fiserv Forum,
"Mon, Feb 12, 2024",8:30p,Washington Wizards,,Dallas Mavericks,,,,,American Airlines Center,
"Mon, Feb 12, 2024",9:00p,Golden State Warriors,,Utah Jazz,,,,,Delta Center,
"Mon, Feb 12, 2024",10:30p,Minnesota Timberwolves,,Los Angeles Clippers,,,,,Crypto.com Arena,
"Tue, Feb 13, 2024",7:30p,Boston Celtics,,Brooklyn Nets,,,,,Barclays Center,
"Tue, Feb 13, 2024",7:30p,Oklahoma City Thunder,,Orlando Magic,,,,,Amway Center,
"Tue, Feb 13, 2024",8:00p,Miami Heat,,Milwaukee Bucks,,,,,Fiserv Forum,
"Tue, Feb 13, 2024",10:00p,Sacramento Kings,,Phoenix Suns,,,,,Footprint Center,
"Tue, Feb 13, 2024",10:00p,Minnesota Timberwolves,,Portland Trail Blazers,,,,,Moda Center,
"Tue, Feb 13, 2024",10:30p,Detroit Pistons,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Wed, Feb 14, 2024",7:00p,Atlanta Hawks,,Charlotte Hornets,,,,,Spectrum Center,
"Wed, Feb 14, 2024",7:00p,New York Knicks,,Orlando Magic,,,,,Amway Center,
"Wed, Feb 14, 2024",7:00p,Miami Heat,,Philadelphia 76ers,,,,,Wells Fargo Center,
"Wed, Feb 14, 2024",7:30p,Brooklyn Nets,,Boston Celtics,,,,,TD Garden,
"Wed, Feb 14, 2024",7:30p,Chicago Bulls,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
"Wed, Feb 14, 2024",7:30p,Indiana Pacers,,Toronto Raptors,,,,,Scotiabank Arena,
"Wed, Feb 14, 2024",8:00p,Houston Rockets,,Memphis Grizzlies,,,,,FedEx Forum,
"Wed, Feb 14, 2024",8:00p,Washington Wizards,,New Orleans Pelicans,,,,,Smoothie King Center,
"Wed, Feb 14, 2024",8:30p,San Antonio Spurs,,Dallas Mavericks,,,,,American Airlines Center,
"Wed, Feb 14, 2024",9:00p,Sacramento Kings,,Denver Nuggets,,,,,Ball Arena,
"Wed, Feb 14, 2024",9:00p,Detroit Pistons,,Phoenix Suns,,,,,Footprint Center,
"Wed, Feb 14, 2024",9:00p,Los Angeles Lakers,,Utah Jazz,,,,,Delta Center,
"Wed, Feb 14, 2024",10:00p,Los Angeles Clippers,,Golden State Warriors,,,,,Chase Center,
